x,y,group
0.0,3376.7,11434
1.332,3376.6,11434
1.676,3376.5,11434
5.504,3376.6,11434
6.028,3376.7,11434
6.54,3376.6,11434
6.972,3376.5,11434
7.687999999999999,3376.6,11434
11.12,3376.4,11434
11.576,3376.6,11434
12.8,3376.5,11434
12.928,3376.3,11434
23.06,3376.1,11434
23.096,3376.0,11434
23.096,3376.2,11434
23.144,3376.0,11434
26.008,3375.9,11434
27.864,3375.8,11434
29.744,3375.7,11434
29.896,3375.6,11434
30.292,3375.5,11434
30.976,3375.4,11434
32.424,3375.3,11434
32.604,3375.2,11434
32.604,3375.1,11434
35.16,3375.5,11434
35.248,3375.6,11434
37.42,3375.8,11434
40.204,3375.7,11434
40.204,3375.6,11434
40.204,3375.8,11434
40.368,3375.7,11434
47.336,3375.8,11434
47.812,3375.9,11434
48.532,3376.0,11434
52.196,3376.2,11434
52.796,3376.3,11434
54.844,3376.7,11434
56.004,3376.8,11434
59.928,3376.9,11434
63.968,3376.8,11434
67.66799999999999,3376.5,11434
68.42,3376.6,11434
68.792,3376.5,11434
77.72399999999999,3376.6,11434
78.67199999999998,3376.4,11434
78.676,3376.2,11434
80.81999999999998,3376.3,11434
87.0,3376.0,11434
89.816,3375.9,11434
0.0,3376.6,11435
0.3439999999999999,3376.5,11435
4.172,3376.6,11435
4.696,3376.7,11435
5.208,3376.6,11435
5.64,3376.5,11435
6.356,3376.6,11435
9.788,3376.4,11435
10.244,3376.6,11435
11.468,3376.5,11435
11.596,3376.3,11435
21.728,3376.1,11435
21.764,3376.0,11435
21.764,3376.2,11435
21.812,3376.0,11435
24.676,3375.9,11435
26.532,3375.8,11435
28.412,3375.7,11435
28.564,3375.6,11435
28.96,3375.5,11435
29.644,3375.4,11435
31.092,3375.3,11435
31.272,3375.2,11435
31.272,3375.1,11435
33.828,3375.5,11435
33.916,3375.6,11435
36.088,3375.8,11435
38.872,3375.7,11435
38.872,3375.6,11435
38.872,3375.8,11435
39.036,3375.7,11435
46.004,3375.8,11435
46.48,3375.9,11435
47.2,3376.0,11435
50.864,3376.2,11435
51.464,3376.3,11435
53.512,3376.7,11435
54.672,3376.8,11435
58.596,3376.9,11435
62.636,3376.8,11435
66.336,3376.5,11435
67.088,3376.6,11435
67.46,3376.5,11435
76.39199999999998,3376.6,11435
77.34,3376.4,11435
77.34399999999998,3376.2,11435
79.488,3376.3,11435
85.66799999999998,3376.0,11435
88.48399999999998,3375.9,11435
89.22,3376.0,11435
0.0,3376.5,11436
3.828,3376.6,11436
4.352,3376.7,11436
4.864,3376.6,11436
5.296,3376.5,11436
6.012,3376.6,11436
9.444,3376.4,11436
9.9,3376.6,11436
11.124,3376.5,11436
11.252,3376.3,11436
21.384,3376.1,11436
21.42,3376.0,11436
21.42,3376.2,11436
21.468,3376.0,11436
24.332,3375.9,11436
26.188,3375.8,11436
28.068,3375.7,11436
28.22,3375.6,11436
28.616,3375.5,11436
29.3,3375.4,11436
30.748,3375.3,11436
30.928,3375.2,11436
30.928,3375.1,11436
33.484,3375.5,11436
33.572,3375.6,11436
35.744,3375.8,11436
38.528,3375.7,11436
38.528,3375.6,11436
38.528,3375.8,11436
38.692,3375.7,11436
45.66,3375.8,11436
46.136,3375.9,11436
46.856,3376.0,11436
50.52,3376.2,11436
51.12,3376.3,11436
53.168,3376.7,11436
54.328,3376.8,11436
58.252,3376.9,11436
62.292,3376.8,11436
65.99199999999999,3376.5,11436
66.744,3376.6,11436
67.116,3376.5,11436
76.048,3376.6,11436
76.99599999999998,3376.4,11436
77.0,3376.2,11436
79.14399999999998,3376.3,11436
85.324,3376.0,11436
88.14,3375.9,11436
88.87599999999999,3376.0,11436
89.14399999999998,3375.9,11436
0.0,3375.8,11451
1.88,3375.7,11451
2.032,3375.6,11451
2.428,3375.5,11451
3.112,3375.4,11451
4.56,3375.3,11451
4.74,3375.2,11451
4.74,3375.1,11451
7.2959999999999985,3375.5,11451
7.383999999999999,3375.6,11451
9.556,3375.8,11451
12.34,3375.7,11451
12.34,3375.6,11451
12.34,3375.8,11451
12.504,3375.7,11451
19.472,3375.8,11451
19.948,3375.9,11451
20.668,3376.0,11451
24.332,3376.2,11451
24.932,3376.3,11451
26.98,3376.7,11451
28.14,3376.8,11451
32.064,3376.9,11451
36.104,3376.8,11451
39.804,3376.5,11451
40.556,3376.6,11451
40.928,3376.5,11451
49.86,3376.6,11451
50.808,3376.4,11451
50.812,3376.2,11451
52.956,3376.3,11451
59.136,3376.0,11451
61.952,3375.9,11451
62.688,3376.0,11451
62.956,3375.9,11451
63.4,3376.0,11451
63.992,3375.8,11451
64.724,3375.6,11451
65.208,3375.7,11451
68.328,3375.8,11451
68.756,3375.9,11451
71.67999999999999,3375.8,11451
74.116,3375.7,11451
82.13599999999998,3375.6,11451
89.92,3375.7,11451
92.596,3375.5,11451
95.704,3375.6,11451
95.704,3375.5,11451
95.708,3375.6,11451
96.704,3375.7,11451
0.0,3375.7,11452
0.152,3375.6,11452
0.5479999999999999,3375.5,11452
1.232,3375.4,11452
2.68,3375.3,11452
2.86,3375.2,11452
2.86,3375.1,11452
5.416,3375.5,11452
5.504,3375.6,11452
7.675999999999998,3375.8,11452
10.46,3375.7,11452
10.46,3375.6,11452
10.46,3375.8,11452
10.624,3375.7,11452
17.592,3375.8,11452
18.068,3375.9,11452
18.788,3376.0,11452
22.452,3376.2,11452
23.052,3376.3,11452
25.1,3376.7,11452
26.26,3376.8,11452
